Date,Category,Rank,Product,Stars,N_Opinions,Price
28/10/2020,Alimentación y bebidas,1,"Marca Amazon - Solimo Cápsulas Espresso, compatibles con Nespresso* - café certificado UTZ, 100 cápsulas (2 x 50)",4.2,12234,13.19
28/10/2020,Alimentación y bebidas,2,Nescafé DOLCE GUSTO Café CAPPUCCINO LIGHT - Pack de 3 x 16 cápsulas - Total: 48 Cápsulas,4.6,7126,11.70
28/10/2020,Alimentación y bebidas,3,"Starbucks CAFFÈ VERONA de NESPRESSO Cápsulas de café de tostado intenso, 8 x tubo de 10 unidades",4.6,8218,22.96
28/10/2020,Alimentación y bebidas,4,Nescafé DOLCE GUSTO Magnum Café CAPPUCCINO - Cápsulas de Café - 3 x 30 - 90 Cápsulas,4.8,3965,21.95
28/10/2020,Alimentación y bebidas,5,"Krups KP100B Cafetera Dolce Gusto cápsulas, monodosis, 15 bares presión, cafés, cappuccino, multibebida, 1500 W, 0.6 litros, antracita",4.5,3252,47.66
28/10/2020,Alimentación y bebidas,6,Note D'Espresso Instant soluble product Barley capsules 2.7g x 100 capsules Exclusivamente Compatible con cafeteras Nespresso*,3.7,8802,7.99
28/10/2020,Alimentación y bebidas,7,"Note D'Espresso Cápsulas de Café Amabile - 48 x 7 g, Total: 336 g",3.9,8139,10.99
28/10/2020,Alimentación y bebidas,8,"Lavazza Café en Grano Caffè Espresso, Paquete de 1 Kg",4.4,1168,12.23
28/10/2020,Alimentación y bebidas,9,Vidal Surtido de Golosinas - Bolsa individual de 400 gr,4.3,489,3.99
28/10/2020,Alimentación y bebidas,10,Eritritol 100 % natural 1 kg | Granulado sustituto del azúcar con cero calorías,4.5,5738,11.99
28/10/2020,Alimentación y bebidas,11,"Meavita Harina De Almendras Natural, Blanqueada, En Bolsa, 1 Paquete (1 X 1000 g)",4.4,2557,15.99
28/10/2020,Alimentación y bebidas,12,"Lavazza Café en Grano, Qualità Oro Perfect Symphony, Café Espresso 100% Arábica Redondo y Aromático, Paquete de 500 g",4.3,786,7.18
28/10/2020,Alimentación y bebidas,13,"Eritritol 100% Natural Envase Ecologico 1Kg Edulcorante Cero Calorias. Ideal para Reposteria, y Dietas. DulciLight el Sabor Natural del Azúcar.",4.6,563,9.95
28/10/2020,Alimentación y bebidas,14,Weider Whey Protein White Spread 250 g. Crema de chocolate Blanco con 22% de proteínas Baja en azúcares Sin aceite de palma y sin gluten.,4.4,1633,5.32
28/10/2020,Alimentación y bebidas,15,"Pepsi MAX, Refresco de Cola Zero Azúcar, lata 330 ml 24 Unidades",4.5,14,
28/10/2020,Alimentación y bebidas,16,"Blemil Plus Optimum 1 Leche de iniciación para lactantes, 1 unidad 800 gr.",4.7,287,20.35
28/10/2020,Alimentación y bebidas,17,Yosoy - Bebida de Avena con Calcio - Caja de 6 x 1L,4.7,377,8.25
28/10/2020,Alimentación y bebidas,18,Nocilla Fluida Blanca - 2kg,4.7,117,5.15
28/10/2020,Alimentación y bebidas,19,Colorante Alimenticio PME Negro de Medianoche 25 g,4.5,475,2.55
28/10/2020,Alimentación y bebidas,20,Lindt Lindor Bolsa 1Kg Bombones de Chocolate con Leche,4.8,3277,19.96
28/10/2020,Alimentación y bebidas,21,TASSIMO Marcilla Café Cortado - 5 paquetes de 16 cápsulas: Total 80 unidades,4.6,1292,22.55
28/10/2020,Alimentación y bebidas,22,Puleva Leche Mañanas Ligeras Desnatada Sin lactosa - Pack 6 x 1 L - Total: 6 L,4.6,254,5.28
28/10/2020,Alimentación y bebidas,23,Marca Amazon - Happy Belly Almendras pelada troceada 200gr x 5,4.6,1286,14.90
28/10/2020,Alimentación y bebidas,24,"Lavazza Café en Grano Espresso Qualità Rossa, Paquete de 1 Kg",4.4,4963,6.78
28/10/2020,Alimentación y bebidas,25,TASSIMO Marcilla Café con Leche - 5 paquetes de 16 cápsulas: Total 80 unidades,4.6,1292,22.55
28/10/2020,Alimentación y bebidas,26,Weider Oat Gourmet. Harina de Avena Integral. Fuente de proteína con bajo contenido en azúcares. Sabor Cookie (1 kg),4.4,592,5.49
28/10/2020,Alimentación y bebidas,27,Paladin Blanco - Experiencia a la Taza - 250 g,3.2,274,1.99
28/10/2020,Alimentación y bebidas,28,"Haribo Favoritos Classic, Golosina - 1000 gr.",4.5,131,7.70
28/10/2020,Alimentación y bebidas,29,ColaCao Original: con Cacao Natural y sin Aditivos - 1600g,4.8,516,4.98
28/10/2020,Alimentación y bebidas,30,"Blevit Laxante, 1 bote 150grs. Infusión instantánea elaborada a base de extractos solubles de frutas (ciruela, tamarindo y kiwi)",4.5,137,6.89
28/10/2020,Alimentación y bebidas,31,NaturGreen Eritritol - 500 gr,4.5,99,7.90
28/10/2020,Alimentación y bebidas,32,"Bolero Bebida Instantánea sin Azúcar, Sabor Papaya - Paquete de 24 x 9 gr - Total: 216 gr",4.6,1681,6.19
28/10/2020,Alimentación y bebidas,33,1906 Reserva Especial Cerveza - Pack de 24 latas x 330 ml - Total: 7.92 L,4.7,234,20.40
28/10/2020,Alimentación y bebidas,34,"Té Verde Matcha Orgánico Japonés En Polvo [ Calidad Premium ] 100g. Té Matcha Biológico Japonés. Té Bio Grado Premium. Matcha Ecológico Cultivado En Japón, Uji, Kyoto. Ideal Para Beber, Cocina, Latte",4.6,4091,15.99
28/10/2020,Alimentación y bebidas,35,"Lindt Lindor Bolsa Surtida 1Kg Bombones de Chocolate con Leche, Negro, Blanco y Avellana",4.8,1792,19.96
28/10/2020,Alimentación y bebidas,36,Puleva Mañanas Ligeras Leche Sin Lactosa Semidesnatada 6 x 1 L,4.7,142,5.34
28/10/2020,Alimentación y bebidas,37,Nescafé DOLCE GUSTO té CHAI TEA LATTE - Pack de 3 x 16 cápsulas - Total: 48 Cápsulas té,4.7,540,10.90
28/10/2020,Alimentación y bebidas,38,"Blemil Plus – Forte 2, Leche de Continuación, 1200 gr",4.7,326,20.95
28/10/2020,Alimentación y bebidas,39,NAN OPTIPRO 2 - Leche de continuación en polvo - Fórmula para bebé - A partir de los 6 meses - 800g,4.7,123,10.49
28/10/2020,Alimentación y bebidas,40,"Marca Amazon - Happy Belly Café de tueste natural en grano ""BRASILE"" (2 x 500g)",3.9,2608,10.17
28/10/2020,Alimentación y bebidas,41,Dr. Oetker - Colorantes Alimentarios 4 x 10 g,4.2,46,2.69
28/10/2020,Alimentación y bebidas,42,Aceite puro de coco virgen extra orgánico Mituso 1000 ml,4.6,4917,12.99
28/10/2020,Alimentación y bebidas,43,Kikkoman Salsa de Soja Menos Sal - 1000 ml,4.7,4035,5.95
28/10/2020,Alimentación y bebidas,44,Hero Baby - Arroz Con Pollo Tierno 235 gr - Pack de 6 (Total 1410 gr),4.6,149,5.70
28/10/2020,Alimentación y bebidas,45,Haribo Maxi Cola (1 kg),4.5,806,4.50
28/10/2020,Alimentación y bebidas,46,Alpro Central Lechera Asturiana Bebida de Almendra Sin Azúcar - Paquete de 8 x 1000 ml - Total: 8000 ml,4.6,254,14.32
28/10/2020,Alimentación y bebidas,47,Heineken Cerveza - Caja de 5 Torps Diseñado exclusivamente para THE SUB x 2L - Total: 10 L,4.5,603,26.40
28/10/2020,Alimentación y bebidas,48,Mini ojos de azúcar X100 – Wilton,4.4,179,5.82
28/10/2020,Alimentación y bebidas,49,Viaggio Espresso Cápsulas de café compatibles con máquinas Nespresso Mix intensos (60 Cápsulas),4.1,873,12.03
28/10/2020,Alimentación y bebidas,50,"Sirope de chocolate sin azúcar, Topping de chocolate, Sirope bajo en calorías 400 gr - Vitadulce",4.0,791,7.00
28/10/2020,Alimentación y bebidas,51,"Lavazza Café Molido Crema e Gusto Classico, Paquete de 4 x 250 g (Total: 1 kg)",4.5,74,9.92
28/10/2020,Alimentación y bebidas,52,Estrella Galicia Especial Cerveza - Pack de 24 botellines x 250 ml - Total: 6 L,4.5,73,11.48
28/10/2020,Alimentación y bebidas,53,Central Lechera Asturiana Cápsulas de Café con Leche - Compatibles con Dolce Gusto - 4 Paquetes de 16 Cápsulas - Total: 64 Cápsulas,4.1,471,15.96
28/10/2020,Alimentación y bebidas,54,"STARBUCKS By Nescafe Dolce Gusto Variety Pack White Cup Coffee Pods, 6 X 12 Cápsulas",4.3,3414,24.84
28/10/2020,Alimentación y bebidas,55,"Naturseed - Aceite de coco Virgen Extra Orgánico - Para uso Estético, en Cocina y Masajes, 500 ml",4.7,1955,9.99
28/10/2020,Alimentación y bebidas,56,Aquilea Aquilea Sueño 60 Comprimidos - 1 unidad,4.6,146,16.99
28/10/2020,Alimentación y bebidas,57,"Jelly Belly Bean Boozled, Dulce de caramelo - 100 gr.",4.3,5305,7.95
28/10/2020,Alimentación y bebidas,58,Marca Amazon - Happy Belly Selección de bombones de chocolate belga 3 x 250g,4.3,244,11.69
28/10/2020,Alimentación y bebidas,59,Ginebra Premium nacional Nordés - 1 botella de 1L,4.7,868,17.50
28/10/2020,Alimentación y bebidas,60,Regalo original de cumpleaños. Alivios para cumplir un año más.,4.6,690,20.89
28/10/2020,Alimentación y bebidas,61,Estrella Galicia Especial Cerveza - Pack de 24 latas x 330 ml - Total: 7.92 L,4.7,349,15.95
28/10/2020,Alimentación y bebidas,62,Chocolate Amatller - Chocolates variados en Cesta Regalo Orígenes 211g,4.4,280,10.20
28/10/2020,Alimentación y bebidas,63,"NATRULY Crema de Cacahuete Sin Azúcar, Vegana, Sin Gluten, Sin Lactosa, 100% Cacahuete -500g (antes Natural Athlete)",4.4,841,5.95
28/10/2020,Alimentación y bebidas,64,Marca Amazon Solimo Granos de café 2 kg (2 x 1 kg),4.3,4031,12.99
28/10/2020,Alimentación y bebidas,65,Almirón Advance 2 Leche de Continuación en Polvo Desde los 6 Meses - 1200 g,4.8,55,14.95
28/10/2020,Alimentación y bebidas,66,Pata Negra Roble Vino Tinto D.O Ribera del Duero - Caja de 6 Botellas x 750 ml,4.0,26,20.30
28/10/2020,Alimentación y bebidas,67,El Aguila Cerveza Especial Sin Filtrar Pack 24 latas x 330 ml - 7920 ml,4.5,46,14.39
28/10/2020,Alimentación y bebidas,68,"Lavazza Cápsulas de Café Compatibles Nespresso Espresso Armonico, Paquetes de 10 x 10 Cápsulas (Total: 100 Cápsulas)",4.3,2824,24.59
28/10/2020,Alimentación y bebidas,69,Pellini - Espresso Gusto Bar N. 3 Gran Aroma Granos 1 kg,4.1,2354,7.12
28/10/2020,Alimentación y bebidas,70,"FunCakes Fondant para Cubrir Tartas, Cupcakes, Galletas o Modelar color Negro: Sabor Vainilla, Flexible, Sin Gluten, Halal, Kosher D, Apto Véganos, 250g",4.5,786,2.95
28/10/2020,Alimentación y bebidas,71,"Mantequilla de Cacahuete de HSN | Textura Crujiente - Peanut Butter Crunchy - 100% Natural | Apto Vegetariano, Sin grasa de palma, Sin grasa trans, Sin azúcar ni sal añadidos, 1000g",4.7,269,8.32
28/10/2020,Alimentación y bebidas,72,"Blevit Plus Duplo 8 Cereales Al Estilo Bizcocho, 1 unidad 600 gr. A partir de los 5 meses.",4.7,185,7.70
28/10/2020,Alimentación y bebidas,73,NESTLÉ CAJA ROJA Bombones de Chocolate - Estuche de bombones 200 g,4.5,84,4.88
28/10/2020,Alimentación y bebidas,74,"Caffè Borbone, Cápsulas de café (Respresso Mezcla Blue) - 100 Cápsulas",4.3,14116,13.10
28/10/2020,Alimentación y bebidas,75,Kinder - Happy Hippo - Barritas de Chocolate - 5 unidades x 20.7 g,4.6,122,2.02
28/10/2020,Alimentación y bebidas,76,"SanaExpert LeberVital Pro, Suplemento Nutricional para el Hígado y los Riñones, Capsulas Depurativas con Extracto de Cardo Mariano, Alcachofa, Cúrcuma, Raíz de Diente de León, 120 Cápsulas",4.5,939,24.90
28/10/2020,Alimentación y bebidas,77,GLUTEN DE TRIGO 500 gr,4.7,283,2.65
28/10/2020,Alimentación y bebidas,78,JB Reserva - Blended Scotch Whisky -700 ml,4.5,122,15.00
28/10/2020,Alimentación y bebidas,79,"Miyata Shirataki, Espaguetis De Harina De Konjac 270 g",4.2,69,1.41
28/10/2020,Alimentación y bebidas,80,Puleva Peques 3 Leche de Crecimiento Tipo 3 Pack de 6 x 1Lt,4.5,107,8.34
28/10/2020,Alimentación y bebidas,81,"Enfamil Premium Complete 2 - Leche Infantil de Continuación para Lactantes Bebés de 6 a 12 Meses, 800 gr",4.7,169,18.85
28/10/2020,Alimentación y bebidas,82,"Tradissimo, Goma xantana para epesar - 400 gr.",4.5,212,8.64
28/10/2020,Alimentación y bebidas,83,"Meavita Aceite De Coco Orgánico, Virgen Y Prensado En Frío, 1000 ml",4.7,5823,12.99
28/10/2020,Alimentación y bebidas,84,ColaCao Puro:100% Cacao Natural y Sin Aditivos - 250g,4.6,302,2.98
28/10/2020,Alimentación y bebidas,85,"Blemil Plus - Crecimiento 3, Leche de Continuación, Preparado Lácteo, 1200 gr",4.6,174,19.69
28/10/2020,Alimentación y bebidas,86,Johnnie Walker Green Whisky Escocés - 700 ml,4.7,1405,29.60
28/10/2020,Alimentación y bebidas,87,Simón Coll - Gotas de Chocolate con Leche 500g,4.5,54,4.95
28/10/2020,Alimentación y bebidas,88,Almendrola - Bebida Vegetal de Almendras Original - Caja de 6 x 1L,4.5,188,10.08
28/10/2020,Alimentación y bebidas,89,Slendier Pasta Konjac Fettuccine - 400 gr,3.9,130,3.25
28/10/2020,Alimentación y bebidas,90,"Lindt Lindor Bombones de Chocolate con Leche - Aprox. 16 bombones, 200 g",4.7,136,6.25
28/10/2020,Alimentación y bebidas,91,"Marca Amazon - Happy Belly Café molido ""BRASILE"" (4 x 250g)",4.1,3683,7.48
28/10/2020,Alimentación y bebidas,92,"Chocolates Simón Coll - Gotas de Chocolate Blanco, 500 g",4.8,50,4.95
28/10/2020,Alimentación y bebidas,93,CAFES GUILIS DESDE 1928 AMANTES DEL CAFE Café Colombiano en Grano Arábica Tueste Natural. Finca Mocatán 1 Kilogramo,4.3,304,22.00
28/10/2020,Alimentación y bebidas,94,"JIM'S STORE Colorante Alimentario 12*11ml, Set de Colorante Alta Concentración Liquid para Colorear los Bebidas Pasteles Galletas Macaron Fondant",4.6,758,13.99
28/10/2020,Alimentación y bebidas,95,Huesitos Superchoc 5X46G 230 g,4.6,55,2.04
28/10/2020,Alimentación y bebidas,96,Almond Breeze Bebida de Almendra Zero - Paquete de 6 x 1000 ml - Total: 6000 ml (317),4.7,124,10.74
28/10/2020,Alimentación y bebidas,97,Johnnie Walker Double Black Whisky Escocés - 700 ml,4.5,1458,23.40
28/10/2020,Alimentación y bebidas,98,Hero Baby Manzana y Pera - 120 gr,4.6,112,0.95
28/10/2020,Alimentación y bebidas,99,"Yosoy, Bebida Ecológica de Arroz, Pack de 6 x 1L",4.5,130,9.60
28/10/2020,Alimentación y bebidas,100,Café FORTALEZA - Cápsulas de Café Cortado Compatibles con Dolce Gusto,4.3,171,2.24
28/10/2020,Amazon Launchpad,1,"Corrector de Postura para Hombres y Mujeres, Órtesis para Parte Superior de Espalda para Soporte de Clavícula, Enderezador de Espalda Ajustable y Brinda Alivio al Dolor de Cuello, Espalda y Hombro",4.0,12743,9.24
28/10/2020,Amazon Launchpad,2,"nonda Adaptador USB Tipo C a USB 3.0, Adaptador Thunderbolt 3 a USB de Aluminio con LED Indicador para MacBook Pro 2019/2018, MacBook Air 2018, Pixel 3, y más dispositivos de tipo C (Gris Espacial)",4.5,17479,7.63
28/10/2020,Amazon Launchpad,3,"OLAPLEX Hair Perfector Nº3 - Cuidado capilar, 100 ml",4.4,26076,22.88
28/10/2020,Amazon Launchpad,4,"Soporte Tablet, Lamicall Multiángulo Soporte Tablet - Soporte Ajustable para Tablets para 2020 iPad Pro 10.5, 9.7, 12.9, iPad mini 2 3 4, iPad Air, Air 2, Samsung Tab, iPhone, Otras Tablets - Plata",4.8,24832,19.99
28/10/2020,Amazon Launchpad,5,DUAL Pro Fat-Burner | Adelgazar Sin Deporte | Quemador de Grasa Para Mujeres y Hombres | Para Pérdida de Peso |100 Cápsulas Para Dieta Keto Sin Aditivos|100% Natural|Vegano|Sin Gluten|Hecho en la UE,3.7,3844,19.90
28/10/2020,Amazon Launchpad,6,Tangle Teezer Thick & Curly Cepillo Dark Red - 80 gr,4.6,15258,7.17
28/10/2020,Amazon Launchpad,7,"Eiffel Textile Funda Sillon Elastica Protector Adaptable Rústica 1 Plaza, 50% Poliéster, Azul",3.5,426,23.81
28/10/2020,Amazon Launchpad,8,POWERCUBE ORIGINAL USB,4.5,530,14.40
28/10/2020,Amazon Launchpad,9,Espirulina Ecológica Premium para 9 Meses | 500 comprimidos de 500mg con 99% BIO Spirulina | Vegano - Saciante - DETOX - Proteína Vegetal | Libre de Plástico | Certificación Ecológica Oficial,4.5,1399,19.90
28/10/2020,Amazon Launchpad,10,SKYJO de Magilano- El juego de cartas definitivo para niños y adultos.,4.7,10201,14.99
28/10/2020,Amazon Launchpad,11,"Rwest X Calcetines de compresión Medias de compresión para Hombres y Mujeres, Deporte, Trotar, Correr, Volar, Viajar, varicosas，Embarazo y médicos, Aumentar la circulación sanguínea, la regeneración",4.4,16,8.99
28/10/2020,Amazon Launchpad,12,"Broadlink RM Mini3 Smart WiFi IR Control Remoto Universal Smart Home Hub, Todo en uno control infrarojo para todos tus dispositivos – Negro",4.0,3202,17.99
28/10/2020,Amazon Launchpad,13,"Olaplex E001-19P-006672 No.4 Bond Maintenance Shampoo, 250 ml/ 250 g",4.6,8417,23.00
28/10/2020,Amazon Launchpad,14,"HOMESTEC Tableta Escritura LCD Color, Pizarra Digital para apuntar recordatorios Escribir o Dibujar (8,5 Pulgadas, Rosa)",4.1,1447,9.56
28/10/2020,Amazon Launchpad,15,"【2Pares】 Auriculares intrauditivos con Mando a Distancia y micrófonos con Aislamiento de Ruido, Sonido Puro de Alta definición para teléfono móvil, computadora, computadora portátil, MP3",4.0,385,9.99
28/10/2020,Amazon Launchpad,16,Extracto de Maca Andina Ecológica Premium para 9 meses | 300 comprimidos de 2500mg | Altamente concentrada 10:1 | Aumenta Energía y Vitalidad | Libre de Plástico | Certificación Ecológica Oficial,4.2,981,19.90
28/10/2020,Amazon Launchpad,17,"Lamicall Soporte Movil Bicicleta, Soporte Motocicleta - Rotación 360° Soporte Manillar para iPhone 12 Mini, 12 Pro Max, 11 Pro, XS Max, XR, X, 8, 7, 6S, Samsung S10 S9 S8, Huawei, 4.7-6.8"" Smartphones",4.6,5249,15.99
28/10/2020,Amazon Launchpad,18,"Allocacoc 1100GY/DEORPC PowerCube Original - Regleta de 5 tomas de corriente, Color Gris, 250 V, Oscuro",4.7,1599,13.63
28/10/2020,Amazon Launchpad,19,CooSpo USB Ant + Adaptador de Dongle Receptor Transmisor de USB Tamaño Mini para Garmin Sunnto Zwift TacX Bkool PerfPRO Studio CycleOps Virtual Trainer TrainerRoad …,4.6,159,14.99
28/10/2020,Amazon Launchpad,20,Netatmo NTH01-ES-EC - Termostato Wi-fi Inteligente para Caldera Individual,4.6,1729,164.90
28/10/2020,Amazon Launchpad,21,"NEWYES 8,5"" Tableta de Escritura LCD | Tableta gráfica | Tablet para niños | Ideal como Pizarra Digital para Aprender a Leer, Escribir y para Manualidades | Juguete Educativo (Azul)",4.3,6489,9.56
28/10/2020,Amazon Launchpad,22,HOMESTEC Cuaderno Inteligente Reutilizable | Tamaño A4 | Hojas borrables y adaptadas para escaneo a PDF mediante APP | Incluye Bolis y Marcadores Adhesivos (Hojas cuadriculadas),4.2,2108,14.96
